"filename", "language", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "C#", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\AdminInventoryLogDto.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\CreateCheckoutRequest.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\CreateNewItemDto.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\CreateStudentRequestDto.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\CreateWorkLogRequest.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\EditItemDto.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\EditUserRequestDto.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Dtos\SearchItemDto.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\Group.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\InventoryItem.cs", "C#", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 7, 53
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\InventoryLog.cs", "C#", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\ItemType.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\Unit.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\User.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Models\WorkLog.cs", "C#", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\AdminService.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\InventoryItemService.cs", "C#", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 2, 32, 175
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\InventoryLogService.cs", "C#", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 5, 24, 152
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\SupplyListService.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\UserService.cs", "C#", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 17, 84
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\backend\src\Services\WorkLogService.cs", "C#", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 4, 14, 83
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\eslint.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\package-lock.json", "JSON", 3428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3429
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 10, 67
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\BarcodePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 4, 6, 51
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\NotificationContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\Textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 3, 8, 91
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 3, 9, 59
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\context\NotificationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 9, 40
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\hooks\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\hooks\useAuth.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\hooks\useNotification.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 41
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\AdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1395, 0, 0, 111, 1506
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\InventoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 302, 0, 0, 30, 332
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\InventoryScannerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 37, 374
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 1, 9, 92
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\WorkLoggingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 25, 207
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\adminService.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\api.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\inventoryLogService.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\inventoryService.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\supplyListService.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\services\workLogService.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\src\types.ts", "TypeScript", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 7, 17, 151
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\tailwind.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 31, 1, 38
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\tsconfig.app.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\package-lock.json", "JSON", 3467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3468
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Siedl\Programming\VS-Code\MartinInventory\public\main.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 16, 29, 129
"Total", "-", 9848, 13, 112, 7, 220, 2506, 16, 60, 2830, 38, 131, 978, 16759
